"","V1","V2","V3","V4","V5","V6","Y","target"
"39",1,1,1,1,1,1,0.484641861876508,0
"40",0,0,0,0,0,0,0.735655143641369,2
"41",1,1,1,0,0,0,2.55641603557177,1
"42",1,1,1,1,1,1,-1.02092103738308,0
"43",1,1,1,0,0,0,1.14111449670559,1
"44",1,1,1,1,1,1,0.433625019820946,0
"45",1,1,1,1,1,1,-0.498099766299328,0
"46",1,0,0,0,0,0,-0.972335003816188,2
"47",1,0,1,0,0,1,0.16392406359343,2
"48",1,1,1,1,1,1,-1.98076484366254,0
"49",1,1,1,1,1,1,-0.884403261320092,0
"50",1,1,0,0,0,0,1.18228022353787,1
"51",0,0,0,0,0,1,1.02608744096,2
"52",1,1,1,1,1,1,-1.3015798077911,0
"53",0,1,0,0,0,0,0.216719642122883,2
"54",0,0,0,0,0,0,1.11075317241464,2
"55",1,1,1,0,0,1,0.399170360904085,1
"56",1,1,1,0,0,0,0.445406759567448,1
"57",1,0,0,0,0,0,-1.11694088410236,2
"58",1,1,1,0,0,1,0.520646057343916,1
"59",1,1,1,0,0,1,1.01469409554437,1
"60",0,0,0,0,0,0,3.37776824128936,2
"61",0,0,1,1,0,0,0.755184973803943,2
"62",1,1,1,1,1,1,-1.46253296631338,0
"63",1,0,1,0,0,0,-0.52498494014406,1
"64",1,1,1,1,1,1,-1.54626400917746,0
"65",0,0,0,0,0,0,-0.0500805988564666,2
"66",1,0,0,0,1,0,0.64914772107042,2
"67",0,0,0,0,0,1,0.450054671185146,2
"68",1,1,1,1,0,0,-0.171933929223195,1
"69",0,0,0,0,0,0,0.657321095119539,2
"70",1,1,1,1,1,1,-0.817829372287898,0
"71",0,1,0,0,0,0,2.31617608153002,1
"72",1,1,1,0,0,0,1.50691572013631,1
"73",0,1,1,0,1,1,0.252346362298008,0
"74",0,0,0,0,0,0,0.118350201123436,2
"75",1,1,1,0,1,1,-1.22789255876583,0
"76",1,1,1,0,0,0,1.48674150215806,1
"77",1,1,1,1,1,1,-0.349034321220559,0
"78",0,0,0,0,1,0,-0.170223791971179,2
"79",1,1,0,1,1,1,-2.01558137965054,0
"80",0,0,0,0,0,0,-0.796781232669175,2
"81",1,1,1,1,1,1,-1.49521509800474,0
"82",1,1,1,0,0,0,2.38313564677815,1
"83",0,0,1,0,0,0,1.29869329099342,2
"84",1,1,1,0,0,0,1.91565380425834,1
"85",1,1,1,1,1,1,-0.856582369318524,0
"86",1,1,1,1,1,1,-4.92240025161834,0
"87",0,1,0,0,0,0,1.08447752485729,2
"88",1,0,1,0,0,0,0.937911301785713,1
"89",0,0,0,0,0,0,-0.729437048847649,2
"90",1,1,1,0,1,0,-0.913340334722803,1
"91",0,0,0,0,0,1,-0.143999977701661,2
"92",0,0,0,0,0,0,-0.571928546198433,2
"93",1,1,1,1,1,1,-0.624640303855527,0
"94",1,1,1,0,1,1,-2.48928426444022,0
"95",1,1,1,0,1,1,-1.0297664883364,0
"96",1,1,1,0,1,1,-1.44579531382682,0
"97",1,0,1,0,1,0,0.149802254185344,1
"98",0,0,0,0,0,0,-1.36732646128496,2
"99",0,0,0,0,0,0,-0.885668184006416,2
"100",1,1,1,1,0,1,-0.749048979287957,0
"101",1,1,1,1,1,1,-1.2459953383557,0
"102",1,0,0,0,0,0,-1.27964784834924,2
"103",0,0,0,1,1,0,-0.272832011107899,0
"104",1,1,1,1,0,1,-0.393817647874205,1
"105",1,1,1,0,0,0,2.04219057698302,1
"106",1,1,1,0,0,0,0.967125514847566,1
"107",0,0,0,0,0,0,-0.0298037818514406,2
"108",0,1,1,0,0,0,-0.527461356118704,1
"109",1,0,1,0,0,1,2.21142750363243,1
"110",1,1,1,0,0,0,-0.882520751467464,1
"111",1,0,0,0,0,0,0.342450879176901,2
"112",1,1,1,1,1,1,0.831177135565887,0
"113",0,0,0,0,0,0,0.539950900755103,2
"114",1,1,1,0,0,0,1.58815726443587,1
"115",0,0,0,0,0,1,-0.770617950125339,2
"116",1,1,1,1,0,1,-1.56320973404262,0
"117",0,0,0,0,0,0,1.17926315857923,2
"118",1,1,1,0,1,0,0.461762869925211,1
"119",0,0,0,0,0,0,-0.0479857948505811,2
"120",1,1,1,1,1,1,-2.40671943255956,0
"121",0,0,0,0,0,0,-0.850782748628153,2
"122",0,1,1,1,1,1,-1.65313738992994,0
"123",0,0,0,0,0,0,-0.027214132377857,2
"124",1,1,1,0,0,0,-0.391983286797076,1
"125",0,0,1,0,1,1,-0.953362633434034,0
"126",0,0,0,0,1,0,-0.622613899959319,2
"127",1,1,1,0,0,0,-0.478002255304184,1
"128",1,1,0,1,1,1,-1.30434487105395,0
"129",1,0,1,1,1,1,-2.18308551524977,0
"130",1,0,1,0,1,1,-2.04692175010691,0
"131",0,0,0,0,0,0,0.0765180622437113,2
"132",0,1,1,1,1,1,0.334506133337838,0
"133",1,1,1,0,0,1,3.0604226984447,1
"134",0,0,1,0,0,0,-0.866447769952398,2
"135",1,1,1,0,0,0,0.149434610496566,1
"136",0,1,0,0,0,0,0.577516954607212,2
"137",0,1,1,0,1,0,1.80485593818008,1
"138",1,1,0,0,0,0,0.41925890944355,1
"139",1,1,1,1,1,1,-1.45768456167908,0
"140",0,0,0,0,0,0,0.898302549689035,2
"141",1,0,1,0,1,0,2.35275903061476,1
"142",0,0,0,0,0,0,1.32953424397052,2
"143",1,1,1,1,1,1,0.0618166459897318,0
"144",1,1,1,0,0,0,-0.169315265086469,1
"145",0,0,0,0,0,1,-1.03253327620941,2
"146",1,1,1,0,0,0,3.116012056831,1
"147",1,1,1,0,0,0,2.13292638730103,1
"148",0,0,0,0,0,0,0.609737723336705,2
"149",0,0,0,1,0,0,0.289338905642984,2
"150",1,0,0,0,0,0,-1.07309132836262,2
"151",1,0,1,0,0,0,1.11835006565518,1
"152",1,1,1,1,1,0,-1.98094672701337,0
"153",1,0,1,0,1,1,-1.46773868385858,0
"154",0,0,0,0,0,0,0.413372029130396,2
"155",1,1,1,1,1,1,-0.437089339714915,0
"156",1,1,1,1,0,1,1.91486779809785,1
"157",1,1,1,0,0,0,2.29146888906536,1
"158",0,0,0,0,0,0,-0.552924016236234,2
"159",1,1,1,0,0,0,-0.57223054407813,1
"160",1,0,0,0,1,0,1.0945624546138,2
"161",1,1,1,1,1,1,-0.716088941263619,0
"162",1,1,1,1,1,1,-2.56497389344178,0
"163",1,1,1,0,1,1,-0.824425915074178,0
"164",0,0,0,0,0,0,-0.642232478443989,2
"165",0,0,0,0,0,0,-3.32111455558914,2
"166",1,1,1,0,0,1,-1.12574629749577,0
"167",1,1,1,1,1,1,-1.62754000274407,0
"168",0,0,0,0,0,0,0.299671977337926,2
"169",0,1,1,1,0,1,-2.40896074679204,0
"170",1,1,1,1,1,1,-2.06580271134876,0
"171",1,1,1,1,1,1,1.04013388599692,0
"172",1,1,0,0,1,0,-1.23078615210272,0
"173",1,1,1,1,1,1,0.566854707213786,0
"174",1,1,1,0,0,0,2.54132114480132,1
"175",1,1,1,1,1,1,-1.24258303628979,0
"176",0,1,1,1,0,0,0.922077264321484,1
"177",1,1,1,0,0,0,1.08919819661257,1
"178",0,0,0,0,0,0,-1.0262423753029,2
"179",1,1,1,0,0,0,-0.853732241219123,1
"180",0,0,0,0,0,1,1.83413456436239,2
"181",0,0,0,0,0,0,0.899561376738308,2
"182",1,1,1,1,1,0,-0.427528588220264,0
"183",1,1,1,0,0,0,0.0378587718096153,1
"184",1,0,1,0,0,0,0.543008166174769,1
"185",0,0,0,1,0,0,0.933422954475864,2
"186",0,0,0,0,0,0,-1.06325868653128,2
"187",1,0,1,1,1,1,-1.91258819817763,0
"188",1,1,1,0,0,0,0.629068896392332,1
"189",0,0,0,0,1,0,-1.28967609796106,2
"190",0,0,0,0,0,1,-0.100172768786757,2
"191",1,1,1,0,0,0,0.570099894792113,1
"192",1,1,1,1,1,1,0.46644239118858,0
"193",0,0,0,0,1,0,-0.258764411872379,2
"194",1,1,1,0,0,0,-0.242500836919387,1
"195",1,1,1,1,1,1,-1.5417732360116,0
"196",1,1,0,1,0,0,-0.834338186582663,2
"197",0,0,0,0,0,0,-0.390394467117143,2
"198",1,1,1,1,1,1,0.544841462418258,0
"199",1,1,0,1,1,1,-2.28950006972398,0
"200",1,1,1,1,1,1,-0.36427347355945,0
"201",1,0,1,0,0,0,1.59908418529482,1
"202",1,1,1,1,0,0,1.50254624645418,1
"203",1,1,1,1,0,0,0.608329390495968,1
"204",0,0,0,0,0,0,0.427376045470797,2
"205",1,1,1,0,0,0,0.311305566554765,1
"206",1,1,1,1,1,1,0.712711411276273,0
"207",1,1,0,1,1,1,-0.566458389527471,0
"208",0,0,0,0,0,0,0.194967705990759,2
"209",1,1,1,0,0,0,0.106183569418387,1
"210",1,1,1,0,0,0,1.22399496890105,1
"211",1,0,1,1,1,1,-1.49665105212825,0
"212",1,1,1,1,0,1,-1.16206210203682,0
"213",1,0,1,0,1,1,-1.13642215027762,0
"214",1,1,1,1,1,1,0.576172527741379,0
"215",0,0,0,0,1,1,0.195162047141818,2
"216",0,1,0,0,0,0,1.36621478520579,2
"217",0,0,0,0,0,0,-1.31543826588726,2
"218",1,0,0,0,0,0,1.47448200737826,2
"219",0,0,0,0,0,0,-0.0808155731635577,2
"220",1,1,1,0,0,0,1.00939535457585,1
"221",0,0,0,0,0,0,-0.113824772307477,2
"222",1,1,0,0,0,0,0.668221228227878,1
"223",1,1,1,0,0,0,0.163805149295829,1
"224",1,1,0,1,1,1,0.195177411511416,0
"225",0,0,0,0,0,0,-0.642127173831603,2
"226",1,0,1,1,1,0,-1.48663118818927,0
"227",0,1,1,1,1,1,-0.253976047017184,0
"228",1,1,1,0,0,0,0.291511898470909,1
"229",1,1,1,1,1,1,-0.875615233092286,0
"230",1,1,1,0,0,0,-0.560170825129944,1
"231",0,1,1,1,1,1,-0.756109058379549,0
"232",1,1,1,1,1,1,-0.395902573644433,0
"233",0,0,0,0,0,0,0.252033979934877,2
"234",0,0,0,0,0,1,-1.15348253088864,2
"235",0,0,0,0,0,0,0.815324166809014,2
"236",1,1,1,1,1,1,-1.13327871522916,0
"237",1,1,1,0,0,0,3.29996912438647,1
"238",1,1,1,0,1,0,0.587579930150093,1
"239",1,1,1,1,1,1,0.98567641101484,0
"240",0,0,0,1,0,0,-0.30821592816083,2
"241",1,1,1,0,0,0,1.01433642217576,1
"242",0,0,0,0,0,0,-0.449650193842814,2
"243",1,1,1,0,0,0,1.56928932327006,1
"244",1,0,1,0,0,0,2.39848399306932,1
"245",1,1,0,1,1,1,-1.78432097030026,0
"246",1,1,1,0,0,0,0.629977534162756,1
"247",1,1,1,0,0,0,0.561572632784727,1
"248",0,0,0,0,0,0,-0.797485497343789,2
"249",1,1,1,1,1,1,-1.67353964789724,0
"250",1,1,0,1,0,0,0.796681714582493,1
"251",1,1,1,1,1,1,-0.88958195305388,0
"252",0,0,0,0,0,1,-0.859459723448017,2
"253",1,0,0,1,0,0,-2.94690421928401,2
"254",0,0,0,0,0,1,0.522020635110767,2
"255",1,1,1,0,0,1,1.59109053132522,1
"256",0,0,0,0,0,0,0.133565415535978,2
"257",1,0,1,1,1,1,-2.22782856605699,0
"258",1,1,1,0,0,0,0.472346223821663,1
"259",1,1,1,0,1,0,1.9622105785811,1
"260",1,1,1,0,1,0,1.43383524008888,1
"261",1,0,1,0,0,0,1.31552294092025,1
"262",0,0,1,0,0,0,-0.336544921209111,2
"263",0,0,0,0,0,0,-1.03854085703576,2
"264",1,1,1,0,1,1,0.529744283733643,1
"265",1,1,1,1,1,1,-0.63007438699561,0
"266",1,1,1,1,1,1,0.108444601722893,0
"267",1,1,1,1,0,1,-1.72839031324171,0
"268",1,1,1,0,0,0,-0.0523294696031953,1
"269",0,1,0,0,0,0,-1.30709834439913,2
"270",0,0,1,0,0,0,0.659849612104565,2
"271",1,1,1,1,1,1,0.405647597507964,0
"272",1,1,1,1,1,1,-2.85829148822511,0
"273",1,1,1,0,0,1,2.96875730943396,1
"274",0,0,1,0,0,0,1.18516303143934,2
"275",0,0,0,0,0,0,1.29729753392555,2
"276",1,1,1,0,0,0,-0.12728552370693,1
"277",1,1,1,0,0,0,0.294244437772802,1
"278",1,1,1,0,0,0,1.27361458116571,1
"279",1,1,1,1,1,1,-1.83437361229512,0
"280",0,1,1,0,1,0,0.588739569516517,1
"281",0,0,0,1,0,0,0.67549084726547,2
"282",1,0,0,0,0,0,-1.08671081138473,2
"283",1,1,1,1,1,1,-1.33551583203307,0
"284",0,0,0,0,0,0,0.537179814541736,2
"285",1,1,0,1,1,1,-0.772971139611055,0
"286",0,0,0,0,0,1,0.963226533893939,2
"287",1,1,1,0,0,0,0.0155869538247879,1
"288",1,1,1,1,1,1,-0.761501074326946,0
"289",1,1,1,1,0,1,0.587400602415537,0
"290",0,0,0,0,0,0,-1.67240452581235,2
"291",0,0,0,0,0,0,-0.178706884563496,2
"292",0,0,0,0,0,0,0.483841125026461,2
"293",1,1,1,1,1,1,-0.42877578976376,0
"294",1,1,1,0,0,0,0.0142669665725256,1
"295",1,1,1,0,1,0,1.61886033014464,1
"296",0,0,0,0,0,0,-0.597278935846248,2
"297",1,0,1,1,1,1,-1.58316571725596,0
"298",0,1,0,0,0,0,0.0437103969919838,2
"299",1,1,1,1,1,1,0.590795742171253,0
"300",0,0,1,0,0,0,-1.13304234737746,2
"301",1,1,1,0,0,1,1.82614561604052,1
"302",1,1,1,0,0,0,-0.070668371416597,1
"303",0,0,0,0,0,0,0.641879061477769,2
"304",0,1,1,0,0,0,-0.462110455195415,1
"305",1,1,1,0,0,0,2.57458635776234,1
"306",1,1,0,0,0,0,0.269186874391247,1
"307",1,1,1,0,0,0,0.845309668865445,1
"308",0,0,0,0,0,0,2.26899161165945,2
"309",0,1,0,0,0,0,1.88928245425025,2
"310",1,1,0,1,1,1,-0.216844343986825,0
"311",0,0,0,0,0,1,-0.692957004531215,2
"312",1,1,1,0,1,1,-0.190741371876701,0
"313",0,0,0,0,0,0,0.202074506161313,2
"314",1,1,1,1,1,1,-1.86318971216683,0
"315",0,1,0,0,0,0,0.102690516748587,2
"316",1,1,1,1,0,0,-0.507552944633421,1
"317",1,1,1,1,1,1,0.589147301636457,0
"318",1,1,1,1,0,0,2.11833813679313,1
"319",1,1,1,0,0,0,1.90996254086056,1
"320",1,1,1,0,0,0,1.93289535519381,1
"321",1,1,1,1,1,0,0.539607667343345,1
"322",1,1,1,1,1,1,-2.03979322452823,0
"323",1,1,1,0,0,0,1.71726354378322,1
"324",0,0,0,0,0,0,0.489211824664301,2
"325",0,0,0,0,1,0,0.0182309971371172,2
"326",0,0,0,0,0,0,-1.02365974613071,2
"327",0,0,1,0,0,0,-0.33606669650574,2
"328",1,1,1,0,0,0,-0.00810650676042801,1
"329",1,1,1,0,0,0,0.0586185138607348,1
"330",1,1,1,0,0,0,-2.23256543251243,1
"331",0,0,0,0,0,1,-0.0825135189113945,2
"332",1,1,1,1,1,1,-1.43524819700517,0
"333",0,0,0,0,0,1,-0.353652554881551,2
"334",0,1,0,1,1,1,-1.8141532565976,0
"335",1,1,1,0,1,1,-1.6848121097389,0
"336",1,1,1,0,1,1,-1.17613419771078,0
"337",0,0,0,0,0,0,0.320058191493245,2
"338",0,0,0,0,0,0,-0.151397491941409,2
"339",1,1,1,1,1,1,-2.15699645566436,0
"340",1,1,1,1,1,1,-0.704804631841164,0
"341",1,1,1,1,1,1,-1.43265951339659,0
"342",0,1,1,1,1,1,-0.625937911868957,0
"343",0,0,0,0,0,0,0.841632255765075,2
"344",1,1,1,1,1,1,-1.8089638929258,0
"345",1,1,1,0,0,0,1.7990680731423,1
"346",1,1,1,1,0,1,1.79475852247193,1
"347",0,0,0,0,1,0,-0.203168528984679,2
"348",1,1,1,0,0,0,-0.505747800564166,1
"349",0,0,0,1,0,0,-0.0119008230942281,2
"350",0,1,0,0,1,0,0.188453596429283,2
"351",0,1,0,0,0,0,0.226304207745134,2
"352",1,1,1,0,0,0,0.481865943333143,1
"353",1,1,1,0,0,1,1.13863502853045,1
"354",1,1,1,0,0,0,0.680167735871921,1
"355",1,1,1,0,0,0,1.53821160549226,1
"356",0,0,0,0,1,0,-0.235164878251097,2
"357",0,0,0,0,0,0,-1.05814643129441,2
"358",1,1,1,0,0,0,1.41208346487146,1
"359",0,1,1,0,0,0,2.2724283828166,1
"360",1,1,1,0,0,0,1.23328504108787,1
"361",1,1,1,1,1,1,-1.57460185818339,0
"362",1,1,1,0,0,0,-0.0509411661889605,1
"363",0,0,0,0,0,0,-1.94257057143741,2
"364",1,1,0,1,1,1,-1.14027558555043,0
"365",1,1,1,0,0,0,1.07488758437156,1
"366",1,1,0,0,0,0,0.489708840436937,1
"367",1,1,1,1,1,1,-1.30179849339625,0
"368",1,1,1,0,0,0,0.897943609371152,1
"369",0,0,0,0,0,0,0.757304223774747,2
"370",1,1,1,1,1,1,-2.07066640619018,0
"371",1,1,1,1,1,1,-1.11358811362105,0
"372",1,1,1,0,0,0,1.34562034465145,1
"373",1,1,1,1,0,0,0.60679899631781,1
"374",0,0,0,0,0,0,-0.980388251483475,2
"375",1,1,1,1,1,1,0.0153923286752233,0
"376",1,1,0,1,0,1,-1.57381991391012,0
"377",1,1,1,1,1,1,-3.74529955367238,0
"378",1,1,1,0,0,0,1.4303626415065,1
"379",1,1,1,0,0,0,1.94964149861653,1
"380",1,1,1,1,1,1,0.251947454513157,0
"381",1,1,1,0,0,0,-0.246561966159426,1
"382",0,0,0,0,0,0,0.7082662196574,2
"383",1,1,0,0,1,1,1.44459199507313,1
"384",1,1,1,1,1,1,-1.52089290390376,0
"385",1,1,1,0,0,0,-0.0878930121092583,1
"386",0,1,1,1,1,1,-0.0234934109368354,0
"387",1,1,1,0,0,0,2.57894509271798,1
"388",1,1,1,0,0,0,1.14342893703732,1
"389",1,1,1,0,0,1,0.478233342700928,1
"390",1,1,1,1,1,1,-1.04060623167853,0
"391",1,1,1,0,0,0,2.34869319864551,1
"392",1,1,1,1,1,0,-2.70462195817712,0
"393",1,1,1,0,0,0,0.467163731220076,1
"394",0,0,0,0,0,0,-0.211889531198243,2
"395",0,1,1,1,1,1,0.316007419718498,0
"396",1,1,1,0,0,0,1.61217161861858,1
"397",0,1,0,0,0,0,-2.38853146247769,2
"398",0,0,0,0,0,0,-0.261008724172314,2
"399",0,0,0,0,0,0,-0.446977552806041,2
"400",0,0,0,0,0,0,0.22442003838225,2
"401",0,0,0,0,0,1,-2.72940438492373,2
"402",1,1,1,1,0,0,1.94929649837532,1
"403",0,1,1,1,1,1,-0.0769551727732382,0
"404",0,0,1,0,0,1,-0.49920199827593,2
"405",0,1,0,0,0,0,-0.718483985161116,2
"406",0,0,0,0,0,1,-0.713628893204467,2
"407",0,0,0,1,0,0,-0.081874177190839,2
"408",1,1,1,1,1,1,-0.363129841604597,0
"409",1,1,1,1,1,1,0.242826893326828,0
"410",1,1,1,1,1,1,-1.48941423449442,0
"411",1,1,1,0,0,0,0.225730077595945,1
"412",0,0,0,0,0,0,0.478847573217735,2
"413",1,1,1,0,0,0,-0.410467416412775,1
"414",0,0,0,0,1,0,1.45540133772619,2
"415",1,1,1,1,1,1,-1.23860553171463,0
"416",1,1,1,0,0,0,-0.104025633472385,1
"417",1,0,1,1,1,1,-1.05247385606305,0
"418",1,1,1,0,0,0,3.6323862046775,1
"419",0,0,0,0,1,0,-0.422568419021218,2
"420",1,0,1,0,0,0,1.5790763008755,1
"421",1,1,0,0,0,1,0.818266462384094,1
"422",1,1,1,0,0,0,0.728269960130292,1
"423",1,1,1,0,0,0,1.20139455871528,1
"424",0,0,0,0,0,0,-1.0477749461391,2
"425",0,0,0,0,0,0,-0.129297457035508,2
"426",0,0,0,0,0,0,-1.33191311039109,2
"427",1,1,1,1,1,1,-1.92492581571927,0
"428",1,1,1,1,0,1,-1.92616326348321,0
"429",0,1,1,1,0,0,1.88444243738174,1
"430",0,0,0,0,0,0,-0.38649489032279,2
"431",1,1,1,1,1,1,-1.21245170271306,0
"432",1,0,0,0,0,0,-0.116488352631035,2
"433",0,0,0,0,0,0,0.284566790474526,2
"434",1,0,1,0,0,0,1.00358260183278,1
"435",1,1,1,0,0,0,1.52121579118872,1
"436",1,1,1,1,1,1,-0.181405381656787,0
"437",1,1,1,0,0,1,2.00958596789119,1
"438",0,1,1,0,0,0,2.86419952588735,1
"439",0,0,0,0,0,0,-0.125819351548333,2
"440",1,1,1,0,1,0,1.17782979970543,1
"441",1,1,1,1,1,1,0.524638596482756,0
"442",1,1,1,0,0,0,0.180733535810628,1
"443",0,1,1,0,0,0,3.00640863771294,1
"444",0,0,0,0,0,0,0.34936355348238,2
"445",0,1,1,1,1,1,-1.23457902961919,0
"446",1,1,1,1,1,1,0.301102063024093,0
"447",0,0,0,0,0,0,0.0533842724790218,2
"448",1,1,1,1,1,1,-3.05348654865589,0
"449",1,1,1,0,1,0,-0.297728375681233,1
"450",0,0,0,0,0,0,-0.0783308489301572,2
"451",0,1,1,1,1,0,-1.0762390173206,0
"452",1,1,1,0,0,0,0.86622062747876,1
"453",1,1,0,1,1,0,-2.07831506662923,0
"454",1,1,1,0,0,0,2.02771874877953,1
"455",0,0,0,0,0,1,-0.34716148241845,2
"456",1,1,1,0,0,0,-1.00170600172553,1
"457",1,1,1,0,0,0,0.831215262584051,1
"458",1,1,1,1,1,1,-1.12102103100956,0
"459",1,1,1,1,1,0,0.245041008223257,0
"460",0,1,0,1,0,0,1.00711782341237,2
"461",1,1,1,1,0,1,-0.772594921008379,0
"462",0,0,0,0,0,0,-1.27737113355062,2
"463",1,1,0,0,0,0,0.239399335574861,1
"464",1,1,1,0,0,0,0.637144372626393,1
"465",1,0,1,0,0,0,0.80143081311904,1
"466",0,1,1,0,0,0,-0.549126480989577,2
"467",1,1,1,0,0,0,0.578869765198916,1
"468",1,1,1,0,0,0,1.01002115174057,1
"469",1,1,1,1,1,0,-0.444173972424873,0
"470",1,1,1,0,0,0,0.650738114652039,1
"471",0,1,0,1,0,0,-1.22988311528654,2
"472",0,0,0,0,0,0,0.538503156639043,2
"473",1,0,1,0,0,0,1.43306394674132,1
"474",1,1,1,1,1,1,-1.60074793063857,0
"475",0,0,0,0,0,0,0.402197824912351,2
"476",1,1,1,1,1,1,-2.11925024222064,0
"477",0,0,0,0,1,0,1.73051795182796,2
"478",1,0,0,1,0,0,-0.502909650038019,2
"479",1,1,1,0,1,1,-1.31292896719001,0
"480",1,1,1,1,1,1,-1.45144539032493,0
"481",1,1,1,1,1,1,-1.36317555873282,0
"482",1,0,1,0,0,0,-0.268677877524957,2
"483",1,1,1,1,1,1,-0.00737189702057051,0
"484",1,1,1,1,1,1,-1.20141990007697,0
"485",1,1,1,0,0,0,2.2721985542501,1
"486",1,1,0,1,1,1,0.300625401055959,0
"487",1,1,1,1,0,0,1.85192907079084,1
"488",1,1,1,0,0,0,0.720387280095323,1
"489",1,1,1,1,1,0,1.53036966864169,0
"490",1,1,1,0,0,0,0.959795265463621,1
"491",0,0,0,0,0,1,0.99056682744279,2
"492",0,0,1,1,1,0,-0.176576815437689,0
"493",1,1,1,0,0,0,1.03756335138111,1
"494",0,0,0,0,0,0,-1.41682352794919,2
"495",0,0,0,0,0,0,1.94896311144762,2
"496",1,1,1,0,1,0,0.982137845112267,1
"497",1,1,1,1,1,0,0.512832816970855,1
"498",1,1,0,0,0,0,0.74040327819073,1
"499",0,0,0,0,0,0,0.220841770290352,2
"500",0,1,1,1,0,0,1.03420468453808,1
"501",1,1,1,1,1,1,-1.30549946305365,0
"502",1,0,0,0,0,0,1.13785777596937,2
"503",1,1,1,0,0,0,1.61282532166932,1
"504",1,1,1,0,0,0,-0.131068629934971,1
"505",1,1,1,1,1,1,-0.266049521635762,0
"506",0,1,0,0,0,1,0.624817823053875,2
"507",0,0,0,0,0,0,-0.169328857115047,2
"508",0,0,0,1,0,0,1.27626398787355,2
"509",1,1,0,0,0,0,0.854966308471578,1
"510",1,1,1,0,0,1,-0.115217227970919,1
"511",1,0,0,0,0,0,-1.13098738848559,2
"512",0,0,1,0,0,0,-0.670543161416683,2
"513",0,0,1,0,0,0,-0.482877719291135,2
"514",1,0,1,1,1,1,-0.328729863294646,0
"515",0,0,0,0,0,0,0.661152928661347,2
"516",0,0,0,0,0,0,-0.543983413372684,2
"517",1,0,1,0,0,0,1.63895681421275,1
"518",1,1,0,0,0,0,0.225197821864471,1
"519",0,0,0,0,0,0,-0.0793761400203123,2
"520",0,0,0,0,0,0,-0.691054377393896,2
"521",1,1,1,1,0,1,-1.60088717585381,0
"522",0,0,0,0,0,0,-0.285686548092264,2
"523",0,0,1,0,0,0,-0.269493755703986,2
"524",1,1,1,0,0,0,0.640714695693583,1
"525",1,1,1,0,0,0,1.38994559938344,1
"526",0,0,0,0,0,0,0.316273780259714,2
"527",1,1,1,1,1,1,-0.618755344837901,0
"528",1,1,1,1,1,1,-2.78211508198483,0
"529",0,0,0,0,0,0,-0.284795556647433,2
"530",1,0,0,0,0,0,0.825557074869565,2
"531",1,1,0,1,0,0,1.75289108149379,1
"532",0,0,1,1,1,1,-1.20068521837533,0
"533",0,0,0,1,0,0,-0.0785907959688194,2
"534",1,0,0,0,0,0,1.10039289227873,2
"535",1,1,1,0,0,0,0.00142961351756044,1
"536",1,1,1,1,1,1,-0.678415459627244,0
"537",0,0,0,1,0,0,0.843790025881576,2
"538",1,1,1,1,0,0,1.46215409605968,1
"539",0,0,0,0,0,0,-0.533543625823082,2
"540",1,0,0,0,0,0,1.60473501229485,2
"541",0,0,0,0,0,0,-0.803360432765694,2
"542",1,1,1,1,1,1,-1.25518717151428,0
"543",1,1,1,0,0,0,-0.208482204269076,1
"544",1,1,1,0,0,0,2.21494410685497,1
"545",1,1,1,0,0,0,0.346257970193033,1
